date,average price,"
average temperature","
highest temperature","
Highest-lowest temperature","
choejeogion
lowest temperature","
Monthly precipitation","
highest humidity","
lowest humidity","
sunlight"
2018-06-15,3260,8.3,13.3,9.3,4,47.07,76.98,32.25,9.8
2018-06-16,3180,8.39,13.39,9.32,4.08,47.2,76.97,32.28,13
2018-06-17,3530,8.47,13.48,9.31,4.17,47.33,77.02,32.35,2.4
2018-06-18,3350,8.57,13.58,9.32,4.26,47.45,77.05,32.34,12.6
2018-06-19,2820,8.65,13.66,9.31,4.35,47.57,77.05,32.39,3.1
2018-06-20,2390,8.73,13.75,9.31,4.43,47.7,77.18,32.44,10.2
2018-06-21,2790,8.82,13.83,9.31,4.52,47.82,77.23,32.44,12.6
2018-06-22,2850,8.91,13.94,9.34,4.6,47.94,77.29,32.36,12.4
2018-06-23,2800,9,14.02,9.33,4.69,48.05,77.31,32.34,8.5
2018-06-24,2680,9.09,14.13,9.35,4.78,48.17,77.39,32.31,11.1
2018-06-25,3190,9.2,14.23,9.36,4.87,48.28,77.43,32.31,7.8
2018-06-26,3320,9.27,14.31,9.34,4.96,48.68,77.54,32.39,0
2018-06-27,3810,9.34,14.37,9.33,5.04,49.07,77.66,32.57,2.9
2018-06-28,3890,9.42,14.44,9.31,5.13,49.6,77.77,32.74,1.9
2018-06-29,3860,9.51,14.52,9.3,5.22,50.15,77.87,32.87,8.4
2018-06-30,3850,9.59,14.6,9.29,5.31,50.77,77.97,33.04,0.5
2018-07-01,4010,9.66,14.64,9.24,5.4,50.73,78.08,33.32,0
2018-07-02,4540,9.73,14.7,9.22,5.48,50.85,78.19,33.6,0.1
2018-07-03,4550,9.82,14.8,9.22,5.57,51.29,78.29,33.67,10.1
2018-07-04,4680,9.92,14.89,9.22,5.67,51.73,78.34,33.77,8.4
2018-07-05,4370,10,14.96,9.2,5.77,52.16,78.42,33.9,1.7
2018-07-06,6500,10.08,15.03,9.18,5.85,52.59,78.36,33.98,2.6
2018-07-07,7780,10.15,15.1,9.18,5.92,53.01,78.28,34.02,9.6
2018-07-08,8700,10.22,15.17,9.19,5.99,53.43,78.19,34.03,9.5
2018-07-09,9010,10.27,15.22,9.16,6.06,53.87,78.28,34.17,0
2018-07-10,9070,10.34,15.28,9.14,6.14,54.38,78.39,34.38,0
2018-07-11,9550,10.43,15.35,9.12,6.23,54.9,78.48,34.54,0.1
2018-07-12,10300,10.51,15.42,9.09,6.33,55.42,78.56,34.74,1.1
2018-07-13,10560,10.6,15.5,9.08,6.42,55.94,78.62,34.86,7
2018-07-14,8980,10.69,15.58,9.07,6.52,56.45,78.66,34.94,11.3
2018-07-15,8300,10.78,15.67,9.07,6.61,56.96,78.7,35,11
2018-07-16,8210,10.87,15.77,9.07,6.7,57.47,78.74,35.03,12.9
2018-07-17,8440,10.95,15.85,9.07,6.78,57.97,78.75,35.08,13
2018-07-18,8140,11.04,15.94,9.07,6.87,58.46,78.78,35.11,13
2018-07-19,7560,11.13,16.03,9.08,6.95,58.95,78.83,35.13,12.9
2018-07-20,7590,11.22,16.12,9.08,7.04,59.43,78.86,35.16,12.9
2018-07-21,8400,11.31,16.22,9.1,7.13,59.91,78.86,35.13,12.9
2018-07-22,8650,11.41,16.33,9.11,7.22,60.39,78.84,35.1,12.2
2018-07-23,7830,11.51,16.43,9.1,7.32,60.86,78.76,35.13,8
2018-07-24,6950,11.61,16.52,9.1,7.42,61.32,78.72,35.16,10.2
2018-07-25,5810,11.7,16.61,9.09,7.52,61.78,78.72,35.23,5.2
2018-07-26,6030,11.79,16.69,9.08,7.62,62.24,78.72,35.3,4.4
2018-07-27,6250,11.88,16.78,9.07,7.71,62.69,78.76,35.37,9.3
2018-07-28,5410,11.97,16.87,9.06,7.81,63.18,78.8,35.45,3.4
2018-07-29,4570,12.06,16.97,9.07,7.9,63.69,78.79,35.43,12.3
2018-07-30,4490,12.15,17.06,9.08,7.98,64.2,78.72,35.43,11
2018-07-31,4990,12.25,17.16,9.08,8.08,64.71,78.68,35.42,12
2018-08-01,5900,12.35,17.27,9.1,8.17,64.4,78.65,35.41,12.6
2018-08-02,5800,12.45,17.36,9.09,8.27,64.1,78.62,35.43,9.8
2018-08-03,6570,12.54,17.46,9.08,8.37,63.8,78.6,35.44,10.5
2018-08-04,6460,12.63,17.54,9.07,8.46,63.51,78.61,35.49,12.1
2018-08-05,6990,12.71,17.61,9.06,8.55,63.22,78.69,35.56,10.1
2018-08-06,6600,12.79,17.69,9.05,8.64,62.97,78.76,35.62,7.3
2018-08-07,6380,12.87,17.78,9.05,8.72,62.74,78.75,35.65,8.5
2018-08-08,5840,12.95,17.86,9.05,8.81,62.52,78.79,35.65,10.8
2018-08-09,5650,13.02,17.92,9.03,8.89,62.31,78.83,35.75,2.6
2018-08-10,6700,13.1,18.01,9.04,8.97,62.11,78.86,35.76,11.4
2018-08-11,6570,13.19,18.09,9.04,9.05,61.91,78.82,35.75,11.5
2018-08-12,6570,13.26,18.17,9.04,9.13,61.74,78.86,35.76,8.4
